# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
0.000000000000000000e+00 2.167377249481608814e+00 1.403144496205574427e-07 9.021878282475609412e-01 8.159325639343727232e+00
5.000000000000000000e+00 2.095131341165555625e+02 1.356373012998722174e-05 6.405533580557681717e+01 5.793121203934045980e+02
1.000000000000000000e+01 5.216154580419072317e+02 3.376901087534749221e-05 2.345688353443658798e+02 2.121424666229369450e+03
1.500000000000000000e+01 9.247476264454868442e+02 5.986749850477120265e-05 4.017743128462472555e+02 3.633619684721074009e+03
2.000000000000000000e+01 1.257078804699333432e+03 8.138238077992334058e-05 5.810089613914293523e+02 5.254605711737361162e+03
2.500000000000000000e+01 1.728122126920003211e+03 1.118773878307911633e-04 7.467107925128981378e+02 6.753201854163493408e+03
3.000000000000000000e+01 2.099466095664518889e+03 1.359179301991133399e-04 8.333208240246636933e+02 7.536497115540488267e+03
3.500000000000000000e+01 2.385559892596091231e+03 1.544394375490269072e-04 9.545147222859196745e+02 8.632566526425665870e+03
4.000000000000000000e+01 2.749679270509001526e+03 1.780122650852805654e-04 1.087437062314393870e+03 9.834707170622310514e+03
4.500000000000000000e+01 3.264792596802464232e+03 2.113603326117663992e-04 1.221863048723279917e+03 1.105044669088452065e+04
5.000000000000000000e+01 3.698268046698785838e+03 2.394232225358779100e-04 1.418539995281248139e+03 1.282917968026145172e+04
5.500000000000000000e+01 3.794355104759137703e+03 2.456438298023892698e-04 1.593564433961274972e+03 1.441208885429413385e+04
6.000000000000000000e+01 4.175813500667901280e+03 2.703391729356074318e-04 1.675362797055721330e+03 1.515186771226130622e+04
6.500000000000000000e+01 4.605676655148420650e+03 2.981682054436847105e-04 1.830238374238219194e+03 1.655255194701531218e+04
7.000000000000000000e+01 5.131626867689292339e+03 3.322178452182734032e-04 1.970979675444838676e+03 1.782540674675293121e+04
7.500000000000000000e+01 5.328858197392117290e+03 3.449864601337440206e-04 2.101195451988569857e+03 1.900306941403154633e+04
8.000000000000000000e+01 5.778227747117969557e+03 3.740783226884061797e-04 2.232614145636630383e+03 2.019161118216260729e+04
8.500000000000000000e+01 5.905380545754223931e+03 3.823101037328121795e-04 2.496052991484918948e+03 2.257413426885097942e+04
9.000000000000000000e+01 6.328741568486302640e+03 4.097181928920280302e-04 2.561611973670908355e+03 2.316704526530996009e+04
9.500000000000000000e+01 6.498519453029027318e+03 4.207094914456382668e-04 2.526426648369253144e+03 2.284883156537554896e+04
1.000000000000000000e+02 7.014355238405648379e+03 4.541043304553308386e-04 2.808811438610739515e+03 2.540270049049013323e+04
1.050000000000000000e+02 7.665290872333293009e+03 4.962454368247050732e-04 3.050898505857169312e+03 2.759211953704737607e+04
1.100000000000000000e+02 7.856742529370834745e+03 5.086398798745208651e-04 3.103826858447691848e+03 2.807079997455553530e+04
1.150000000000000000e+02 8.501898490633195252e+03 5.504068143782402198e-04 3.279152026403802665e+03 2.965642892380134072e+04
1.200000000000000000e+02 8.608099975857789104e+03 5.572822224096473211e-04 3.270130148121326783e+03 2.957483566740790411e+04
1.250000000000000000e+02 9.097927234240631151e+03 5.889932880238931507e-04 3.509209922606929467e+03 3.173705696183398322e+04
1.300000000000000000e+02 9.407862180916508805e+03 6.090582543196333817e-04 3.843921606886775407e+03 3.476416677403051290e+04
1.350000000000000000e+02 9.381131194839563250e+03 6.073277094409794408e-04 3.927223616361633049e+03 3.551754450806324894e+04
1.400000000000000000e+02 9.865178780557125719e+03 6.386646031895708243e-04 3.977445405467412002e+03 3.597174696865336591e+04
1.450000000000000000e+02 1.014332552757393205e+04 6.566716242242089455e-04 4.113074308980631031e+03 3.719836558976805100e+04
1.500000000000000000e+02 1.075163607559510274e+04 6.960532130843786721e-04 3.967822068632773153e+03 3.588471416183371184e+04
1.550000000000000000e+02 1.097921068679067139e+04 7.107862302945371644e-04 4.298323543047462408e+03 3.887374712104663195e+04
1.600000000000000000e+02 1.122845907048105983e+04 7.269223920009015372e-04 4.321479697305817353e+03 3.908316981245645729e+04
1.650000000000000000e+02 1.133393809662249805e+04 7.337510285491020360e-04 4.576197394147712657e+03 4.138681941796450701e+04
1.700000000000000000e+02 1.188372945890766277e+04 7.693441272695164708e-04 4.648071691131433909e+03 4.203684569389888202e+04
1.750000000000000000e+02 1.219510932374985350e+04 7.895026365316699067e-04 4.863393852806519135e+03 4.398420474648891832e+04
1.800000000000000000e+02 1.249998705684359993e+04 8.092402024449617520e-04 5.124727593722228448e+03 4.634768940668548748e+04
1.850000000000000000e+02 1.317909859501450956e+04 8.532053966594033492e-04 5.131644367072125533e+03 4.641024423658711021e+04
