# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.880644802099306956e-01 9.342573277696026857e-01
3.000000000000000000e+01 7.614380409155200313e-01 1.735500893453134977e-02 8.641934406297919757e-01 2.802771983308808057e+00
3.500000000000000000e+01 7.614380409155200313e-01 1.735500893453134977e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.880644802099306956e-01 9.342573277696026857e-01
4.500000000000000000e+01 2.284314122746561093e+00 5.206502680359406665e-02 8.641934406297919757e-01 2.802771983308808057e+00
5.000000000000000000e+01 5.330066286408641218e+00 1.214850625417194796e-01 2.592580321889376371e+00 8.408315949926425503e+00
5.500000000000000000e+01 1.370588473647936567e+01 3.123901608215643999e-01 7.777740965668127338e+00 2.522494784977926940e+01
6.000000000000000000e+01 4.644772049584673113e+01 1.058655545006412346e+00 1.901225569385542613e+01 6.166098363279377992e+01
6.500000000000000000e+01 7.309805192788995498e+01 1.666080857715010133e+00 2.995870594183278612e+01 9.716276208803866155e+01
7.000000000000000000e+01 1.332516571602160127e+02 3.037126563542986712e+00 4.032902722939029161e+01 1.307960258877443778e+02
7.500000000000000000e+01 1.751307494105696776e+02 3.991652054942211869e+00 6.769515284933370936e+01 2.195504720258566351e+02
