# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
0.000000000000000000e+00 1.799604421272338328e+01 4.101732397326953716e-01 5.576928336864257929e+00 1.808722186561950807e+01
5.000000000000000000e+00 2.010196428016973513e+01 4.581722358716277532e-01 5.866638899818244823e+00 1.902681780669065148e+01
1.000000000000000000e+01 2.718551359794382094e+01 6.196234047025820368e-01 1.021229734412805534e+01 3.312075692275779915e+01
1.500000000000000000e+01 3.044011733854274482e+01 6.938036714627506818e-01 1.071929082929753640e+01 3.476504981963230279e+01
2.000000000000000000e+01 3.714077209859931372e+01 8.465277500866263960e-01 1.079171847003603091e+01 3.499994880490008597e+01
2.500000000000000000e+01 4.269274318550333902e+01 9.730705580892665685e-01 1.050200790708204046e+01 3.406035286382893190e+01
3.000000000000000000e+01 6.068878739822672941e+01 1.383243797821962051e+00 2.745007583989031019e+01 8.902671541649083053e+01
3.500000000000000000e+01 6.528352209083695357e+01 1.487968880306905328e+00 3.643110329146393411e+01 1.181541895896963013e+02
4.000000000000000000e+01 7.811048977437383201e+01 1.780326402244039485e+00 4.396357792826760402e+01 1.425836840575460087e+02
4.500000000000000000e+01 9.208614113106327181e+01 2.098865194802409295e+00 5.511743460199613054e+01 1.787581277887850888e+02
5.000000000000000000e+01 1.165913928249845100e+02 2.657398968055442179e+00 6.482273846095469594e+01 2.102345918146683061e+02
5.500000000000000000e+01 1.290354659508038253e+02 2.941029399785496601e+00 7.010995623486498118e+01 2.273822177392167418e+02
6.000000000000000000e+01 1.451170373749396276e+02 3.307567188482798848e+00 9.125882733050605111e+01 2.959727214374101436e+02
6.500000000000000000e+01 1.813005730792451971e+02 4.132277213051729348e+00 1.007468482672491632e+02 3.267444885074901890e+02
7.000000000000000000e+01 1.880012278393017198e+02 4.285001291675603952e+00 1.248652526331685948e+02 4.049658506016627939e+02
7.500000000000000000e+01 2.299281819093700392e+02 5.240617669350713825e+00 1.367433857142820841e+02 4.434892841855796632e+02
8.000000000000000000e+01 2.582623791804663824e+02 5.886422344674532070e+00 1.640486062726954515e+02 5.320462016315351548e+02
8.500000000000000000e+01 3.132077482129303689e+02 7.138759789390315191e+00 1.848353391646439832e+02 5.994622104033894630e+02
9.000000000000000000e+01 3.564748332350098963e+02 8.124920982790197144e+00 2.184417644673065695e+02 7.084553395676422269e+02
9.500000000000000000e+01 3.972531036319257396e+02 9.054356089844073807e+00 2.550177230402475175e+02 8.270793271278741940e+02
1.000000000000000000e+02 4.531557090586835557e+02 1.032851126007755482e+01 2.787015615617359003e+02 9.038912953104398866e+02
1.050000000000000000e+02 5.211194930535431240e+02 1.187756977183400942e+01 3.192610403752941579e+02 1.035434727060399837e+03
1.100000000000000000e+02 5.902319607215553106e+02 1.345280955421170255e+01 3.680772702330410198e+02 1.193756643130887596e+03
1.150000000000000000e+02 6.648963994764714016e+02 1.515459214459203174e+01 4.207321650499283123e+02 1.364528205420568156e+03
1.200000000000000000e+02 7.546851732612293517e+02 1.720109479815196707e+01 4.625953413967795314e+02 1.500299818905348502e+03
1.250000000000000000e+02 8.536634164312080202e+02 1.945704761668179117e+01 5.122807029433885191e+02 1.661440522799049859e+03
1.300000000000000000e+02 9.513015286491754523e+02 2.168245561948684141e+01 5.881848704373329610e+02 1.907614659359688403e+03
1.350000000000000000e+02 1.060426477598668271e+03 2.416967632850424863e+01 6.517039113649947240e+02 2.113621069439536768e+03
1.400000000000000000e+02 1.177975106817946426e+03 2.684889302207738737e+01 7.081250435002837094e+02 2.296607378963141855e+03
1.450000000000000000e+02 1.288631633998309553e+03 2.937102209192310909e+01 8.011221342085137849e+02 2.598217676046979250e+03
1.500000000000000000e+02 1.424559201988028690e+03 3.246913911543602183e+01 8.760123147321197621e+02 2.841103226813870606e+03
1.550000000000000000e+02 1.558763744468018558e+03 3.552798423301706521e+01 9.598110950665603696e+02 3.112881352768697980e+03
1.600000000000000000e+02 1.696605785246325922e+03 3.866973670756539150e+01 1.053749745104390968e+03 3.417545336661016336e+03
