# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
0.000000000000000000e+00 4.339471654131879319e+01 9.890702234689107142e-01 8.536804588377497893e+00 2.768676039689636426e+01
5.000000000000000000e+00 4.860208252627705150e+01 1.107758650285179947e+00 1.346188415859528575e+01 4.365989139510580230e+01
1.000000000000000000e+01 6.595996914280455314e+01 1.503386739672744055e+00 2.659542967917604628e+01 8.625490739033095622e+01
1.500000000000000000e+01 1.223731006465189921e+02 2.789178030182328349e+00 3.250552516343739740e+01 1.054226645881822861e+02
2.000000000000000000e+01 1.466741419096575214e+02 3.343057355324918323e+00 6.041430939467149841e+01 1.959370735780357222e+02
2.500000000000000000e+01 2.091625337291565927e+02 4.767318477120149112e+00 8.733807771186206992e+01 2.832568563682473268e+02
3.000000000000000000e+01 3.263282683907171986e+02 7.437808080486205675e+00 1.264103756355898724e+02 4.099770289540422823e+02
3.500000000000000000e+01 3.966277091876538066e+02 9.040101842505844587e+00 1.408572757082287126e+02 4.568315465487899019e+02
4.000000000000000000e+01 4.539087350221945485e+02 1.034567453748480581e+01 1.825562827360726317e+02 5.920707223336298739e+02
4.500000000000000000e+01 6.040544542551575660e+02 1.376785751068723584e+01 2.150618078995100007e+02 6.974933869218119753e+02
5.000000000000000000e+01 7.602754338039053437e+02 1.732851031517531837e+01 2.636559263256588679e+02 8.550949461041452651e+02
5.500000000000000000e+01 8.505364442098485824e+02 1.938577637999065573e+01 3.253835902723885170e+02 1.055291521281703581e+03
6.000000000000000000e+01 1.028454782029255284e+03 2.344096429621318123e+01 3.894096246852196259e+02 1.262942224258425995e+03
6.500000000000000000e+01 1.205505225517835925e+03 2.747637080796633668e+01 4.682108978087043738e+02 1.518512320229777515e+03
7.000000000000000000e+01 1.344368318450055995e+03 3.064139552306684777e+01 4.974330365919963128e+02 1.613286230819152706e+03
7.500000000000000000e+01 1.694997628103912575e+03 3.863308292869566429e+01 6.392753282142687112e+02 2.073312403567585079e+03
8.000000000000000000e+01 1.905895950494721319e+03 4.343996421475456060e+01 7.164349081476807442e+02 2.323558122539532633e+03
8.500000000000000000e+01 2.326824700945514451e+03 5.303394538240300449e+01 8.881560158292741107e+02 2.880487956677101465e+03
9.000000000000000000e+01 2.676586116268542810e+03 6.100585138356240833e+01 1.003402877772370175e+03 3.254259222035202129e+03
9.500000000000000000e+01 3.025479637260746131e+03 6.895797598025245634e+01 1.149513571688831462e+03 3.728128774982083087e+03
1.000000000000000000e+02 3.535801503786655303e+03 8.058944180824684622e+01 1.318936308904323369e+03 4.277604481320487139e+03
1.050000000000000000e+02 3.961937620222405258e+03 9.030211140271153170e+01 1.493940802966061938e+03 4.845183069456862540e+03
1.100000000000000000e+02 4.513918414627979473e+03 1.028830846452360532e+02 1.676497085702134882e+03 5.437253791790493779e+03
1.150000000000000000e+02 5.044201850762896356e+03 1.149695227760261673e+02 1.906662470950312127e+03 6.183731447106812084e+03
1.200000000000000000e+02 5.785383609288621301e+03 1.318628421928751777e+02 2.210704049751757339e+03 7.169806067396276376e+03
1.250000000000000000e+02 6.608147434912025346e+03 1.506156136298457113e+02 2.497015342100418366e+03 8.098377416092186650e+03
1.300000000000000000e+02 7.297255533588164326e+03 1.663220487785319506e+02 2.785625004915179943e+03 9.034402892587257156e+03
1.350000000000000000e+02 8.052323601407115348e+03 1.835318706668910806e+02 3.066682879055607827e+03 9.945936234885073645e+03
1.400000000000000000e+02 9.000064210669517706e+03 2.051331643474520945e+02 3.416035189903056562e+03 1.107896366035806568e+04
1.450000000000000000e+02 9.937390087962003236e+03 2.264970811743805541e+02 3.736822039243241761e+03 1.211934692604144038e+04
1.500000000000000000e+02 1.092765751943489704e+04 2.490676636739410696e+02 4.153812109521680213e+03 1.347173868388983647e+04
1.550000000000000000e+02 1.191879284523862043e+04 2.716580275779710405e+02 4.508417838577362090e+03 1.462180411576091865e+04
1.600000000000000000e+02 1.307916756555348366e+04 2.981057653535296481e+02 4.965465222693572287e+03 1.610411067239475415e+04
1.650000000000000000e+02 1.438448063911635290e+04 3.278569976754744744e+02 5.405767336271042041e+03 1.753210858363467560e+04
1.700000000000000000e+02 1.552229010682973239e+04 3.537904189348293471e+02 5.874306572717761810e+03 1.905168577926433863e+04
1.750000000000000000e+02 1.675296426794153740e+04 3.818404504724077242e+02 6.329055586367870092e+03 2.052653820809900571e+04
1.800000000000000000e+02 1.807389943945927371e+04 4.119477480748012681e+02 6.838965491204417958e+03 2.218028970411362025e+04
1.850000000000000000e+02 1.894960481926308421e+04 4.319071851844037724e+02 7.196197929364214360e+03 2.333887413918374659e+04
1.900000000000000000e+02 2.021846633093125274e+04 4.608275985186348862e+02 7.650290265738294693e+03 2.481159681721865491e+04
1.950000000000000000e+02 2.154634465709560391e+04 4.910931473567834473e+02 8.111277713510679860e+03 2.630668187865106302e+04
2.000000000000000000e+02 2.237691953169644694e+04 5.100239514339784819e+02 8.381500412596629758e+03 2.718307433275282165e+04
2.050000000000000000e+02 2.360499000981577410e+04 5.380146387581487488e+02 8.882873512844800644e+03 2.880913906837054310e+04
2.100000000000000000e+02 2.415349922689804225e+04 5.505164863827957333e+02 9.156707936948907445e+03 2.969724515187098223e+04
2.150000000000000000e+02 2.533557130548356508e+04 5.774587592700888763e+02 9.526745581991272047e+03 3.089735972753645547e+04
2.200000000000000000e+02 2.621040879095655328e+04 5.973984149752220674e+02 9.864277701870196324e+03 3.199205163861373512e+04
2.250000000000000000e+02 2.694898686648979856e+04 6.142323901786629676e+02 1.024186713558689553e+04 3.321665834847646329e+04
2.300000000000000000e+02 2.788023748346649518e+04 6.354578371743057232e+02 1.054853542349245436e+04 3.421125197196497174e+04
2.350000000000000000e+02 2.834890042211273976e+04 6.461397955877699815e+02 1.071565979024184526e+04 3.475327355050421465e+04
2.400000000000000000e+02 2.914736320647300818e+04 6.643386876995979264e+02 1.105187855556871546e+04 3.584370595998198405e+04
2.450000000000000000e+02 2.964466665803652359e+04 6.756734324605516804e+02 1.120849608590163916e+04 3.635165152572503575e+04
2.500000000000000000e+02 3.011072591369027941e+04 6.862960466606076579e+02 1.138579895042948374e+04 3.692668424166058685e+04
2.550000000000000000e+02 3.027909741387060421e+04 6.901336391276671520e+02 1.143176635975151294e+04 3.707576679764386790e+04
