0, 0, 255
514, 514, 511
1028, 1028, 767
1542, 1542, 1023
2056, 2056, 1279
2570, 2570, 1535
2827, 2827, 1791
3084, 3084, 2047
3341, 3341, 2303
3598, 3598, 2559
3855, 3855, 2815
3855, 4112, 3071
3855, 4369, 3327
3855, 4626, 3583
3855, 4883, 3839
3855, 5140, 4095
4112, 5397, 4351
4369, 5654, 4607
4626, 5911, 4863
4883, 6168, 5119
5140, 6425, 5375
5397, 6425, 5631
5654, 6425, 5887
5911, 6425, 6143
6168, 6425, 6399
6425, 6425, 6655
6682, 6682, 6911
6939, 6939, 7167
7196, 7196, 7423
7453, 7453, 7679
7710, 7710, 7935
7967, 7967, 8191
8224, 8224, 8447
8481, 8481, 8703
8738, 8738, 8959
8995, 8995, 9215
9252, 9252, 9471
9509, 9509, 9727
9766, 9766, 9983
10023, 10023, 10239
10280, 10280, 10495
10537, 10537, 10751
10794, 10794, 11007
11051, 11051, 11263
11308, 11308, 11519
11565, 11565, 11775
11822, 11822, 12031
12079, 12079, 12287
12336, 12336, 12543
12593, 12593, 12799
12850, 12850, 13055
13107, 13107, 13311
13364, 13364, 13567
13621, 13621, 13823
13878, 13878, 14079
14135, 14135, 14335
14392, 14392, 14591
14649, 14649, 14847
14906, 14906, 15103
15163, 15163, 15359
15420, 15420, 15615
15677, 15677, 15871
15934, 15934, 16127
16191, 16191, 16383
16448, 16448, 16639
16705, 16705, 16895
16962, 16962, 17151
17219, 17219, 17407
17476, 17476, 17663
17733, 17733, 17919
17990, 17990, 18175
18247, 17990, 18431
18504, 17990, 18687
18761, 17990, 18943
19018, 17990, 19199
19275, 17990, 19455
19532, 18504, 19711
19789, 19018, 19967
20046, 19532, 20223
20303, 20046, 20479
20560, 20560, 20735
20817, 20560, 20991
21074, 20560, 21247
21331, 20560, 21503
21588, 20560, 21759
21845, 20560, 22015
21845, 21074, 22271
21845, 21588, 22527
21845, 22102, 22783
21845, 22616, 23039
21845, 23130, 23295
22102, 23387, 23551
22359, 23644, 23807
22616, 23901, 24063
22873, 24158, 24319
23130, 24415, 24575
23644, 24672, 24831
24158, 24929, 25087
24672, 25186, 25343
25186, 25443, 25599
25700, 25700, 25855
25700, 25957, 26111
25700, 26214, 26367
25700, 26471, 26623
25700, 26728, 26879
25700, 26985, 27135
25957, 26985, 27391
26214, 26985, 27647
26471, 26985, 27903
26728, 26985, 28159
26985, 26985, 28415
27242, 27242, 28671
27499, 27499, 28927
27756, 27756, 29183
28013, 28013, 29439
28270, 28270, 29695
28527, 28527, 29951
28784, 28784, 30207
29041, 29041, 30463
29298, 29298, 30719
29555, 29555, 30975
30069, 29555, 31231
30583, 29555, 31487
31097, 29555, 31743
31611, 29555, 31999
32125, 29555, 32255
32125, 30069, 32511
32125, 30583, 32767
32125, 31097, 33023
32125, 31611, 33279
32125, 32125, 33535
32382, 32382, 33791
32639, 32639, 34047
32896, 32896, 34303
33153, 33153, 34559
33410, 33410, 34815
33410, 33924, 35071
33410, 34438, 35327
33410, 34952, 35583
33410, 35466, 35839
33410, 35980, 36095
33667, 35980, 36351
33924, 35980, 36607
34181, 35980, 36863
34438, 35980, 37119
34695, 35980, 37375
35209, 36494, 37631
35723, 37008, 37887
36237, 37522, 38143
36751, 38036, 38399
37265, 38550, 38655
37779, 38550, 38911
38293, 38550, 39167
38807, 38550, 39423
39321, 38550, 39679
39835, 38550, 39935
39835, 38807, 40191
39835, 39064, 40447
39835, 39321, 40703
39835, 39578, 40959
39835, 39835, 41215
40349, 40092, 41471
40863, 40349, 41727
41377, 40606, 41983
41891, 40863, 42239
42405, 41120, 42495
42405, 41634, 42751
42405, 42148, 43007
42405, 42662, 43263
42405, 43176, 43519
42405, 43690, 43775
42919, 43947, 44031
43433, 44204, 44287
43947, 44461, 44543
44461, 44718, 44799
44975, 44975, 45055
44975, 45232, 45311
44975, 45489, 45567
44975, 45746, 45823
44975, 46003, 46079
44975, 46260, 46335
45232, 46517, 46591
45489, 46774, 46847
45746, 47031, 47103
46003, 47288, 47359
46260, 47545, 47615
46260, 47545, 47871
46260, 47545, 48127
46260, 47545, 48383
46260, 47545, 48639
46260, 47545, 48895
46774, 47802, 49151
47288, 48059, 49407
47802, 48316, 49663
48316, 48573, 49919
48830, 48830, 50175
48830, 49087, 50431
48830, 49344, 50687
48830, 49601, 50943
48830, 49858, 51199
48830, 50115, 51455
49344, 50115, 51711
49858, 50115, 51967
50372, 50115, 52223
50886, 50115, 52479
51400, 50115, 52735
51657, 50886, 52991
51914, 51657, 53247
52171, 52428, 53503
52428, 53199, 53759
52685, 53970, 54015
52942, 53970, 54271
53199, 53970, 54527
53456, 53970, 54783
53713, 53970, 55039
53970, 53970, 55295
54227, 54227, 55551
54484, 54484, 55807
54741, 54741, 56063
54998, 54998, 56319
55255, 55255, 56575
55512, 55512, 56831
55769, 55769, 57087
56026, 56026, 57343
56283, 56283, 57599
56540, 56540, 57855
56540, 56797, 58111
56540, 57054, 58367
56540, 57311, 58623
56540, 57568, 58879
56540, 57825, 59135
57054, 58339, 59391
57568, 58853, 59647
58082, 59367, 59903
58596, 59881, 60159
59110, 60395, 60415
59367, 60652, 60671
59624, 60909, 60927
59881, 61166, 61183
60138, 61423, 61439
60395, 61680, 61695
60652, 61937, 61951
60909, 62194, 62207
61166, 62451, 62463
61423, 62708, 62719
61680, 62965, 62975
61937, 62965, 63231
62194, 62965, 63487
62451, 62965, 63743
62708, 62965, 63999
62965, 62965, 64255
63222, 63222, 64511
63479, 63479, 64767
63736, 63736, 65023
63993, 63993, 65279
