# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
0.000000000000000000e+00 8.678943308263759704e+00 1.978140446937821650e-01 5.581756846246823223e+00 1.810288179797068864e+01
5.000000000000000000e+00 1.735788661652751941e+01 3.956280893875643301e-01 6.566772760290382038e+00 2.129750799761258051e+01
1.000000000000000000e+01 1.128262630074288531e+01 2.571582581019167812e-01 7.223450036319421841e+00 2.342725879737384531e+01
1.500000000000000000e+01 3.645156189470778685e+01 8.308189877138849599e-01 1.182019096852268447e+01 3.833551439570263852e+01
2.000000000000000000e+01 4.426261087214516721e+01 1.008851627938288864e+00 1.707360917675499223e+01 5.537352079379270720e+01
2.500000000000000000e+01 1.128262630074288495e+02 2.571582581019167701e+00 4.038565247578585371e+01 1.309796741853173785e+02
3.000000000000000000e+01 1.518815078946157655e+02 3.461745782141187000e+00 6.139932530871507765e+01 1.991316997776776532e+02
3.500000000000000000e+01 2.412746239697325166e+02 5.499230442487143655e+00 1.050683641646461126e+02 3.407601279618012882e+02
4.000000000000000000e+01 3.428182606764185039e+02 7.813654765404395519e+00 1.402005984321996834e+02 4.547017957490286904e+02
4.500000000000000000e+01 4.799455649469857690e+02 1.093911667156615053e+01 1.736911395096806530e+02 5.633190865368529785e+02
5.000000000000000000e+01 5.858286733078036832e+02 1.335244801683029436e+01 1.802579122699710013e+02 5.846165945344654347e+02
5.500000000000000000e+01 7.463891245106832457e+02 1.701200784366526619e+01 2.836845832445445126e+02 9.200523454968636088e+02
6.000000000000000000e+01 8.947990550819936288e+02 2.039462800792894015e+01 3.326070403087078375e+02 1.078718780079077305e+03
6.500000000000000000e+01 1.064038449593136875e+03 2.425200187945769059e+01 3.992597838256552336e+02 1.294888486254845020e+03
7.000000000000000000e+01 1.269729405998988341e+03 2.894019473870033821e+01 4.934929729358222517e+02 1.600507726020585551e+03
7.500000000000000000e+01 1.548323486194254428e+03 3.529002557337072687e+01 5.775476642675392895e+02 1.873115828390026991e+03
8.000000000000000000e+01 1.837332298359438028e+03 4.187723326167368754e+01 6.675124510835173623e+02 2.164891687957318936e+03
8.500000000000000000e+01 2.182754242028335284e+03 4.975023224048620563e+01 8.044296631355716727e+02 2.608944729707541228e+03
9.000000000000000000e+01 2.571570902238551753e+03 5.861230144276764520e+01 9.456152774818150419e+02 3.066841151656211878e+03
9.500000000000000000e+01 2.899634959290921870e+03 6.608967233219262027e+01 1.081219134981811521e+03 3.506634691806912087e+03
1.000000000000000000e+02 3.389127361876997384e+03 7.724638445292191591e+01 1.279864010980595367e+03 4.150884308734692240e+03
1.050000000000000000e+02 3.857790300523240148e+03 8.792834286638614572e+01 1.453883489128290648e+03 4.715268270671425853e+03
1.100000000000000000e+02 4.349886386101795324e+03 9.914439920052360833e+01 1.658110121973321384e+03 5.377620769397176446e+03
1.150000000000000000e+02 5.029447647138847969e+03 1.146332389000467487e+02 1.893857264067746655e+03 6.142201306511469738e+03
1.200000000000000000e+02 5.644784727694747744e+03 1.286582546688358946e+02 2.130589422076214760e+03 6.909976469825403001e+03
1.250000000000000000e+02 6.543923254430876113e+03 1.491517896991117880e+02 2.399498766610106031e+03 7.782109422327638640e+03
1.300000000000000000e+02 7.035151445678600794e+03 1.603480646287797811e+02 2.674318206628257940e+03 8.673410132027722284e+03
1.350000000000000000e+02 8.015004145181581407e+03 1.826812702747078276e+02 2.980329817257790637e+03 9.665874004716471973e+03
1.400000000000000000e+02 8.786562205286230892e+03 2.002669388479850738e+02 3.352337494128239996e+03 1.087237783278122333e+04
1.450000000000000000e+02 9.769886482112515296e+03 2.226792701117906006e+02 3.685272873074962718e+03 1.195216148826018252e+04
1.500000000000000000e+02 1.072543814035235118e+04 2.444585964325759164e+02 4.090114413746864557e+03 1.326515285631299776e+04
1.550000000000000000e+02 1.177125080899813474e+04 2.682951888181767117e+02 4.457197011047096566e+03 1.445568355337954017e+04
1.600000000000000000e+02 1.293509710663630358e+04 2.948220522116128564e+02 4.897170785986550982e+03 1.588261658921958042e+04
1.650000000000000000e+02 1.413539496616918586e+04 3.221797345927630545e+02 5.353561492826734138e+03 1.736279339505365715e+04
1.700000000000000000e+02 1.534523966334115175e+04 3.497550124230762094e+02 5.809295522390885708e+03 1.884084045008796966e+04
1.750000000000000000e+02 1.659240381673865704e+04 3.781808906455727879e+02 6.297863415756490213e+03 2.042537504511034422e+04
1.800000000000000000e+02 1.791420688258722294e+04 4.083079696524357018e+02 6.831085363892070745e+03 2.215473269451649321e+04
1.850000000000000000e+02 1.859029656630097088e+04 4.237176837340813336e+02 7.129873524485282360e+03 2.312376930840786372e+04
1.900000000000000000e+02 1.968037184581890688e+04 4.485631277476205696e+02 7.507134619563964407e+03 2.434731114287070159e+04
1.950000000000000000e+02 2.058471773853998820e+04 4.691753512047125696e+02 7.664080488534906181e+03 2.485632158401364723e+04
2.000000000000000000e+02 2.152117572150164051e+04 4.905194866271715455e+02 8.161841863764914706e+03 2.647067269023267363e+04
2.050000000000000000e+02 2.264162730259848468e+04 5.160572797971386763e+02 8.585070368165628679e+03 2.784329708067880347e+04
2.100000000000000000e+02 2.297142714831251578e+04 5.235742134955024767e+02 8.927199228976762242e+03 2.895289724735443087e+04
2.150000000000000000e+02 2.408406768043193733e+04 5.489339740252455613e+02 9.040804397729783886e+03 2.932134413571312689e+04
2.200000000000000000e+02 2.507173142891234602e+04 5.714452123113978814e+02 9.541192482063910575e+03 3.094421424513119928e+04
2.250000000000000000e+02 2.593268260509211177e+04 5.910683655450210381e+02 9.772671221864149629e+03 3.169495140204705240e+04
2.300000000000000000e+02 2.635100767255041865e+04 6.006030024992612653e+02 9.939467249975525192e+03 3.223590810518641592e+04
2.350000000000000000e+02 2.697849527373790261e+04 6.149049579306220039e+02 1.024909058562321661e+04 3.324008560727384611e+04
2.400000000000000000e+02 2.776914700912071567e+04 6.329258174022252206e+02 1.047039082764500017e+04 3.395781162679338013e+04
2.450000000000000000e+02 2.810849369247383220e+04 6.406603465497521483e+02 1.069924285834111834e+04 3.470002978051017999e+04
2.500000000000000000e+02 2.866047448687941142e+04 6.532413197922767267e+02 1.077607409963651480e+04 3.494921062408223952e+04
2.550000000000000000e+02 2.883058177572137720e+04 6.571184750682748472e+02 1.095107859369825201e+04 3.551678921221860946e+04
