# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
0.000000000000000000e+00 1.646446598185330501e+01 3.752648789043807609e-01 3.621382036924843284e+00 1.174494926338929268e+01
5.000000000000000000e+00 2.163354251103980630e+01 4.930805966999421419e-01 5.287217773910270147e+00 1.714762592454836465e+01
1.000000000000000000e+01 2.661117176136755091e+01 6.065327693919643215e-01 8.691316888619621039e+00 2.818787823213429178e+01
1.500000000000000000e+01 3.254603740598908956e+01 7.418026676016828969e-01 1.361639645883740890e+01 4.416100923034373693e+01
2.000000000000000000e+01 4.058682311805699072e+01 9.250715619503342424e-01 1.723777849576224952e+01 5.590595849373301718e+01
2.500000000000000000e+01 4.709603059925481716e+01 1.073432095470670866e+00 2.607395066585887733e+01 8.456363469640292863e+01
3.000000000000000000e+01 5.992299828279169560e+01 1.365789617407805023e+00 3.085417495459966730e+01 1.000669677240767754e+02
3.500000000000000000e+01 6.853812583143586323e+01 1.562149147067073640e+00 3.947306420248079206e+01 1.280199469709432947e+02
4.000000000000000000e+01 8.251377718812528883e+01 1.880687939625443450e+00 4.830923637257741632e+01 1.566776231736131706e+02
4.500000000000000000e+01 9.725521766024976955e+01 2.216680912597970732e+00 5.584171100938107912e+01 1.811071176414628781e+02
5.000000000000000000e+01 1.148683673152556111e+02 2.618127062123586590e+00 6.677828476089410970e+01 2.165768644168985588e+02
5.500000000000000000e+01 1.389907244514593287e+02 3.167933745169540849e+00 7.894612840496158412e+01 2.560398939418865893e+02
6.000000000000000000e+01 1.675163690014144890e+02 3.818101965596898850e+00 9.640118982293930117e+01 3.126505493914228850e+02
6.500000000000000000e+01 1.889584642335955209e+02 4.306819017193300958e+00 1.111764285335926843e+02 3.605699423860512525e+02
7.000000000000000000e+01 2.021683264748499198e+02 4.607903629337513962e+00 1.312388850181563100e+02 4.256369613052279419e+02
7.500000000000000000e+01 2.567308009495963574e+02 5.851513983846218458e+00 1.499976439694270312e+02 4.864757984895845198e+02
8.000000000000000000e+01 2.802788162492237234e+02 6.388230031581552559e+00 1.779547132944867656e+02 5.771468068029497545e+02
8.500000000000000000e+01 3.294807669159248462e+02 7.509661123191155419e+00 2.041010916010841356e+02 6.619453404846204876e+02
9.000000000000000000e+01 3.915096852661629896e+02 8.923449736737895321e+00 2.379972274667007071e+02 7.718780655899442991e+02
9.500000000000000000e+01 4.359254539613952488e+02 9.935792200759015813e+00 2.770357258247504433e+02 8.984886186492807383e+02
